Graduation Year,Role,Employer,Company's Industry,Role Category 1,Role Category 2,Role Category 3,Role Category 4,Career Webpage,Specify Other Industry,POST,Comments
2025,Co-Founder,Stealth Startup,Entrepreneurship,Entrepreneurship,,,,,,PRE,
2025,Founder and Project Director,rekindle,Sustainability/Environment,Entrepreneurship,,,,,Retail,PRE,
2025,Founder and Project Lead,Dabao Penang,Government and NGO's/No-Profit Organizations (NPOs),Entrepreneurship,,,,,,PRE,
2025,"Founder, Automation Engineer",Clarity Works,Other,Entrepreneurship,,,,,AI Automation,POST,Started during degree
2025,General Manager,Gold's Gym,Other,Entrepreneurship,,,,,Fitness,POST,Started during degree
2025,Global Business Operations Rotational Associate,TD,Wealth Management,Entrepreneurship,,,,,,POST,
2025,Growth and Strategy Analyst,Trudent,Other,Entrepreneurship,,,,,,POST,
2025,Non-Profit Foundation Advisor,UHUBOR Communications,Other,Entrepreneurship,,,,,Software Development,PRE,
2025,Partnership Associate,Uber,Other,Entrepreneurship,,,,,,POST,
2025,Partnership Development Representative,Workden.,Other,Entrepreneurship,,,,,Hospitality,PRE,
2025,Project Mentor and Coach,UHUBOR COMMUNICATIONS,Other,Entrepreneurship,,,,,Software Development,PRE,
2025,Small Business Owner,SSET Enterprises,Academia,Entrepreneurship,,,,,,PRE,
2025,Strategic Partnerships Associate,Uber,Other,Entrepreneurship,,,,,Internet Marketplace,PRE,
2025,Mid-Market Portolio Management Intern,Deloitte,Consulting,Finance - Asset Management,,,,,,PRE,
2025,Portfolio Intern,LEAP | Pecaut Centre for Social Impact,Government and NGO's/No-Profit Organizations (NPOs),Finance - Asset Management,,,,,,POST,
2025,Strategy & Planning Intern,DYNE Technologies Inc.,Data Science,Finance - Asset Management,,,,,,PRE,
2025,"Accounting Assistant, Corporate Services Directorate",Indigenous Services Canada,Government and NGO's/No-Profit Organizations (NPOs),Finance - Corporate Finance,,,,,,PRE,
2025,Accounting Intern,Pins Entertainment Inc.,Other,Finance - Corporate Finance,,,,,Entertainment,PRE,
2025,"Analyst, Public Sector Consulting",MNP,Finance - Corporate Finance,Finance - Corporate Finance,,,,,Consulting,POST,
2025,Business Analysis Intern,Ultralogix,Data Science,Finance - Corporate Finance,,,,,,PRE,
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance - Corporate Finance,,,,,,PRE,
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance - Corporate Finance,,,,,,POST,Started during degree
2025,Finance Assistant,UBC Faculty of Land and Food Systems,Academia,Finance - Corporate Finance,,,,,,PRE,
2025,Finance Assistant Worklearn,UBC,Academia,Finance - Corporate Finance,,,,,,PRE,
2025,Finance Assistant Worklearn and Project Manager,UBC,Academia,Finance - Corporate Finance,,,,,,PRE,
2025,Financial Analyst,BC Hydro,Sustainability/Environment,Finance - Corporate Finance,,,,,,PRE,
2025,Financial Analyst,Beenova AI,Other,Finance - Corporate Finance,,,,,Tech,PRE,
2025,"Summer Analyst, Enterprise Strategy",TD,Wealth Management,Finance - Corporate Finance,,,,,,PRE,
2025,Account Management Associate,Gentai Capital,Finance - Investment Banking,Finance - Investment Banking,,,,,,POST,Started during degree
2025,Analyst,Scotiabank,Wealth Management,Finance - Investment Banking,,,,,,PRE,
2025,Analyst,Goldman Sachs,Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
2025,Assent Management Analyst,JM Financial Asset Management Ltd.,Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
2025,Associate Product Owner,Tangerine,Wealth Management,Finance - Investment Banking,,,,,,POST,
2025,Impact Strategy Analyst - Financial Health & Inclusion,Vancity,Wealth Management,Finance - Investment Banking,,,,,Health,PRE,
2025,Investment Analyst,Boann Social Impact,Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
2025,Investment Analyst,Spring,Consulting,Finance - Investment Banking,,,,,,PRE,
2025,Investment Analyst,Spring,Consulting,Finance - Investment Banking,,,,,,POST,Started during degree
2025,Investment Banking Analyst,Goldman Sachs,Finance - Investment Banking,Finance - Investment Banking,,,,,,POST,
2025,Investment Banking Winter Analyst,Scotiabank,Wealth Management,Finance - Investment Banking,,,,,,PRE,
2025,Investment Research Intern,Orbis Investments,Finance - Investment Banking,Finance - Investment Banking,,,,,Research,PRE,
2025,Investments Intern,PT Saratoga Investama Sedaya Tbk.,Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
